sdnn,rmssd,nn50,pnn50,lf_power,hf_power,lf_hf_ratio,HR
1550290.676869949,752528.3826342667,298,99.66555183946488,2474523904890.5757,558331328013.0538,4.43199903128617,57
5607383.101291952,3835632.9021809464,298,99.66555183946488,15815237006574.506,3188268884560.4736,4.9604464300867,56
609754.9239477493,545231.7695118106,298,99.66555183946488,265393385159.1799,718725015098.9333,0.3692558065794443,53
2772568.4677379197,2096034.8927449756,297,99.33110367892976,2425779030888.0327,758236884902.5907,3.199236385341064,56
3217039.7809673785,1832239.7907605348,298,99.66555183946488,5885427407709.329,3410625280367.9854,1.7256153707610846,56
1470275.5597551013,1055584.455986758,298,99.66555183946488,12718342486.504362,3542380258833.9717,0.003590338009248843,56
958675.1416434757,550911.8758184065,298,99.66555183946488,315200972437.7717,354610073442.3758,0.8888663804103465,56
1783380.250615537,1322138.1718698975,298,99.66555183946488,2612745610055.137,2191259043116.756,1.1923490370809269,54
739563.0414329665,596308.850073989,297,99.33110367892976,145405920397.60312,650567116436.9297,0.22350640959840112,57
88543.47164641356,43387.59452917422,298,99.66555183946488,110961619.94447097,1876593875.289851,0.05912926680917164,57
1941666.7095730668,1332869.8535245638,298,99.66555183946488,1398755851657.833,1740905543868.6746,0.8034645283221341,63
535857.7134576751,256014.21655243495,298,99.66555183946488,58174972780.76294,92381482991.20566,0.6297254698357783,63
428360.0817956413,218938.84248254893,298,99.66555183946488,15274161972.917618,7807175411.448619,1.9564261295473444,60
3800222.867210545,2073903.1645001234,298,99.66555183946488,126104826944.60602,51928555254.85068,2.428429335761782,60
609142.3057827385,326982.95938842255,298,99.66555183946488,42941845933.553345,36625173168.49386,1.1724680655023711,60
319223.797037857,190092.62886840486,298,99.66555183946488,22957223644.84243,22442067352.00638,1.0229549392556294,55
1342812.6058505555,729067.685964969,298,99.66555183946488,533364503335.1911,2477169481663.857,0.2153120758523727,56
1652013.3905247,813258.1814735691,298,99.66555183946488,852500114339.7135,379711989718.09204,2.245122981164307,55
1145352.8060487853,591799.1297719874,297,99.33110367892976,761027218538.0001,550064957297.094,1.3835224521073497,54
1713002.1768602757,714753.1895072871,298,99.66555183946488,43869861366.120255,1637700043697.0186,0.026787482564320165,56
5217674.375593252,5907879.90447275,298,99.66555183946488,175768795447.42627,10304169116352.594,0.01705802704348896,72
3423486.040864252,3813084.754421696,298,99.66555183946488,1216170418765.65,628991905089.5037,1.9335231644874546,55
1177734.153290443,1022509.7673321799,298,99.66555183946488,242429671193.80542,1256583271644.1445,0.1929276607960923,56
3957390.5221018456,3802460.936251867,298,99.66555183946488,208960752336.5492,951963998856.8436,0.21950488945745597,66
329944.32686488936,322685.92939563683,295,98.66220735785953,21205653956.05086,5215554057.838285,4.065848751808368,66
5387714.312489073,5458635.02279516,298,99.66555183946488,718102265501.8511,819070535327.5203,0.8767282358835004,65
4799543.118580065,2924778.1223546993,298,99.66555183946488,11084778651.165672,1136151330007.7263,0.009756428002500593,72
4834412.232979684,3042222.779848571,298,99.66555183946488,744096001508.5713,2877070464330.0425,0.25862974533779526,62
3682338.267364066,1990918.8098424834,298,99.66555183946488,127822112450.60909,157428723245.7932,0.8119364104289953,67
5040572.464074337,3078665.514735533,298,99.66555183946488,196910578548.20984,483708494785.28613,0.407085219033866,63
5795225.884465782,3446818.5970716374,298,99.66555183946488,193597828718.55695,821983272653.7982,0.23552526573140645,60
441545.08186339505,446369.3704413491,297,99.33110367892976,61426968583.43869,134269494540.45355,0.45749013052947474,67
1309059.0498187926,1356680.8125043595,298,99.66555183946488,13390931770.977484,193935556905.7837,0.06904835804546644,69
301118.2875420215,250687.37691194552,298,99.66555183946488,7807156486.436508,29396558793.219646,0.26558062599617066,71
70081.26176856105,68521.78454714363,298,99.66555183946488,2245582501.1170344,4712437122.591083,0.4765225386991106,62
