ac_dc_ratio,perfusion_index,peak_valley_ratio,peak_amplitude_std,valley_amplitude_std,mean_peak_distance,peak_distance_std,waveform_area,signal_skewness,signal_kurtosis,Segment_ID
11475167275.957035,46326225113.199554,2.115035439278531,0.7253355028754614,0.8785101593380769,23.333333333333332,1.3123346456686351,1.6512813354378295,-0.9863876493021811,0.45816586256724046,132004
5008696909.5058775,30879608322.70295,1.0581143488605642,0.9823745020297457,0.9671306916052403,23.666666666666668,2.1343747458109497,0.0022033282222650996,0.02337733738812773,-1.534638043292587,132005
3263009294.409608,28663081215.462875,1.1008208524341072,1.025666859289646,1.0318244332564084,27.5,9.254728521139883,0.4163645309537145,-0.8374344100852171,-1.1407402288071236,132006
15205625379.768585,42802059753.56796,1.6873027144089927,0.8819645155724776,0.8740494955030896,25.0,1.348399724926484,0.20892536447126986,-0.18214017575920433,-0.7235563760141019,132008
10856400236.155361,42586444247.26384,1.6099948336781145,1.002872883374051,0.9209725420907083,22.333333333333332,1.8408935028645435,0.3819793708146193,0.24104882001829467,-0.8410079435199789,132009
8053662201.26129,38977906745.60534,2.1716290133013696,1.103897622590031,0.9148307317141672,21.76923076923077,2.3908108104492394,-0.8902432118953669,1.105196310267933,0.4144027100670806,132012
4210708404.4120007,34384544353.72556,1.2282767135425052,0.9845548744600701,0.9586959898172007,24.272727272727273,2.1358800226310417,-0.06815357154182777,-0.09784245623650684,-1.1603044341630624,132013
7139101503.473577,34551142378.07996,1.3904199602392187,1.0039200724775623,1.039174459611108,24.8,5.81033561853358,-0.34840096652698094,-0.10866152707204009,-1.3521702525235506,132014
3210226567.1031337,41118119193.5805,3.0687622069516642,0.7582526630551767,0.8127725904405136,23.1,1.3000000000000003,-0.2778221467401636,-0.08138792135261336,-0.5781098383396182,132049
6950495377.663709,31696567621.184845,1.6088663203628761,1.0570197709665947,1.0584443947315527,33.0,15.684387141358123,0.2898433709445669,-0.3187722519122463,-1.5050886395191236,132052
6516782235.234208,45227205183.50169,3.864259634272972,0.7476165638828107,1.248087747306481,20.642857142857142,5.651891502056671,-1.287386660539454,0.7767836248012465,0.31736191570522543,132053
11870512499.38641,43789390206.52624,1.301025580106952,0.8675392949573287,1.0174428912446847,23.90909090909091,3.654500225862142,-0.048627350863846175,-0.5693846526330034,-0.3001506849216593,132054
11127519097.727829,53107496532.27001,10.951093546034091,1.38423656640215,1.0506465026989553,28.1,16.573774464496612,1.2345611064099842,1.5416735585938508,2.461458536724714,132057
13574902687.209938,53077798086.09879,1.1676910367937479,0.9491391958809057,0.9989887931393675,27.1,7.462573282722254,0.8691940971259058,0.3757480656056064,-0.24652562698177682,132059
8741843718.508276,45466011776.7756,1.803542703922375,0.930926470145932,0.9674187506930052,20.692307692307693,4.905014943670726,1.3938159544547375,-0.5368128525257319,-0.3141835378078355,132060
6970517844.753534,34245375767.51815,0.9635104684871773,0.9394838434336352,0.9271915744017244,26.8,6.968500556073738,0.3391536239568467,0.329353186722978,-1.1767756046462716,132061
