ac_dc_ratio,perfusion_index,peak_amplitude_std,valley_amplitude_std,SpO2
17.028739782625724,28.009302645763825,166049242.6851219,111619147.40380087,99.0
-121.40965586678318,-216.65940341917033,49187063.17414579,31629690.54179374,98.0
-20.98914074493065,-129.75788131089266,117894956.36725928,126539461.60495183,98.0
-27.12780297169216,-43.89510555541813,165855135.59321624,134294137.7477572,98.0
12.565320013750805,57.58385835359731,285971104.0115243,245406573.45198706,99.0
-34.66105420297322,-93.37179075754408,54435307.125409916,69088533.34353359,98.0
-29.009221941273815,-59.61746031025223,28136805.17103303,28245753.994073223,97.0
-8.788782592738215,-28.293179837616922,128760143.87585267,123950491.70049174,98.0
-43.19383309153658,-173.88748135512535,88949077.4011702,98474203.88986605,98.0
-46.50320127192256,-104.27045878698426,53109101.82061479,48959383.71999718,98.0
68.4288596468647,214.93696158796357,183439595.13851202,217969112.14862117,97.0
-65.82142519565546,-215.07579445116585,226762206.31622648,280566176.6746237,98.0
17.25992578450412,109.750624724866,216648307.52929854,151862545.55261064,97.0
9.696986756462879,35.98078586815676,436663944.7643252,424840701.2256619,95.0
16.12442023599424,46.69562099719433,219339277.97114432,302229470.9626688,93.0
16.781648610101954,46.25469730605383,115105096.37655136,128075242.9042417,93.0
-354.43866670963376,-1911.0691749588802,59658600.63110527,57686924.041943796,93.0
-14.42577991150935,-46.11695063988908,545585121.1809227,618203985.8262573,93.0
-16.588859544961718,-80.38936253108398,294433991.1862977,304688685.6270161,93.0
-56.55342478377679,-210.70063629528067,308536998.20093656,201474463.71772525,92.0
21.10549356477672,67.76672839209115,4472682.896042155,1540393.3994795813,98.0
-785.2743829624111,-3519.4175805300406,133997861.77693605,152987391.96966654,92.0
-36.062891176475915,-144.209887647281,100261690.53346993,137638047.36537284,92.0
2.3808705168782347,15.776884139704498,144682019.07012534,59090085.815193936,98.0
-32.3206041697477,-91.36956240775665,75019705.68188803,70774927.8664392,98.0
-56.11131088309752,-132.84905869522504,15797485.777580919,17440625.63697349,98.0
-60.4571494739768,-150.14928240216966,239781464.62005296,227664070.26656953,98.0
15.717901755766817,32.890318231129555,391300659.3207386,313364710.9205077,98.0
-32.38456949786078,-44.161042942155284,334676946.97945094,272098174.88652486,98.0
-25.968282007611798,-43.11341282021586,87294124.61020394,66283133.09296611,98.0
134.86968966134702,243.59951582278526,780225158.1440524,595463030.0951568,98.0
22.890307212607215,39.15242988246286,119551203.24012505,79013327.43633105,97.0
20.449532263730006,30.527452169621302,62397960.73743107,69192743.29929475,99.0
17.501256604400925,32.19488034459282,398915923.7884909,360237858.4563526,98.0
-21.416525109709056,-41.30106359651121,108007371.5920934,122671914.60550834,98.0
-34.14606288576671,-53.48729307990362,117832914.82078561,89036178.01166351,99.0
-87.50177119134497,-336.48305964755576,2808613.3205252565,13215716.303241257,98.0
17.590794326172876,58.13125145226231,41179010.133118585,88226888.6564411,98.0
8.611213126157661,37.44580519964494,84190740.4155407,97221624.15021208,98.0
17.519155534370558,55.372740412198915,96495968.6184898,110617876.81141448,99.0
27.058656734282817,59.63706094676892,95618852.61481282,86775079.08287375,99.0
-29.525134474902504,-58.201974384742606,251080171.1543047,215417866.26984677,98.0
39.83385054818746,116.22148615671287,97745781.28003275,135168668.8027992,98.0
50.58187197366515,175.3722937701251,165045282.71129307,247530102.77717537,98.0
38.41366185594813,51.32267635645933,52213735.105977744,52615886.67652144,98.0
-37.03957906171482,-50.901780533369326,68027526.51797491,48134667.62347834,98.0
26.979980691652628,58.271692089006315,149702808.09747568,153153905.85992232,98.0
2002.8890229494868,3202.191349269139,41744595.94680816,39029535.30493077,97.0
-137.14253653901304,-223.12599188426384,154466067.92164016,152836215.3255594,96.0
73.39710995492393,185.90399929790414,89314407.21073724,85585025.44099046,96.0
