IBI,Amplitude,Slope,Mean,Std,HR
13.055555555555555,1429622041.8645,-6215017.286146999,455900048.374769,692474176.9754125,77
13.4,601627233.6069999,-5166523.447744999,-15105698.55422994,532754635.527357,75
19.4,188215793.4544,1905933.0800133331,110881586.77533336,307399575.4589278,73
20.545454545454547,1262946639.4776,4079651.946216,-33014061.07392802,647086901.6991451,73
30.833333333333332,510957421.6516,-1302470.9986859998,-129682747.63977867,368404001.01741064,81
11.625,397903948.6825,-2399288.7061791667,-167923154.70690668,209619245.44653136,82
12.909090909090908,360135614.685,2541323.044516667,-7229055.6126250075,225148698.71066377,72
18.1,581525270.0206001,-2244474.061748333,45259306.97039734,340073150.5352603,80
13.588235294117647,653767177.3677,-3218290.2573543335,79556612.67136365,329936577.5726322,79
13.416666666666666,436247818.4657,-1159528.4476700001,38742014.15609036,315029924.86431116,72
26.5,807389004.5368,3717537.223204,-155458415.740796,382496153.3440616,76
16.4375,630687167.4163,8930.934930667181,184194264.11567366,385551560.8914607,74
7.666666666666667,525171794.15849996,-309337.73740983364,-310312918.552108,246455929.30034825,79
17.6,1253771124.6509998,4597407.651994166,-30412700.36712499,481254700.8177421,76
7.896551724137931,1378208130.8094,-3292263.9736506655,140752761.20339862,621235830.2829392,72
8.5625,742553229.8526999,-3868215.147985167,-44422314.48072934,456485684.8167365,74
9.0,129734338.15559998,1991686.4376826668,-14097584.338842684,208055378.70762843,72
14.4,1443476531.9088001,-843287.6345310005,-5667396.767082011,730379153.2479854,72
16.055555555555557,936162556.0485,-1358320.3738225007,31047677.488409985,415838197.3110906,78
9.105263157894736,787749413.0121001,2243290.7416315,-68771774.15184997,412071267.18482524,74
48.0,4619732.428800001,-4118.604415999982,-7509600.371711999,3745471.2204178087,76
8.5,611649087.8147999,-1083506.6027686663,104403272.54305202,274025236.904614,76
9.566666666666666,462696798.7818,242366.4885409998,172601500.698786,213169454.15973648,74
15.647058823529411,159555664.19520003,2835583.2916320004,318242843.27471995,96261427.00314435,62
17.181818181818183,666066810.9182999,-6428268.426128999,293739511.679625,488370673.7054425,60
18.4,412631282.4986,-2806139.4019560004,-136941782.78677604,320618379.6187375,56
55.25,1772400674.5279999,10211560.563159999,-597949294.5330666,1004241529.038257,57
13.714285714285714,1722285699.4067998,2572684.900657665,538719552.880036,1336881050.3929625,56
23.285714285714285,3119361044.922,7007413.393239,-335543729.315244,1956695815.674021,54
21.666666666666668,1025191830.1378001,5741041.813923666,-38106818.34410136,998238191.9984614,55
43.333333333333336,3876342106.1282997,-7541077.908100499,-717789534.0000663,1798893644.138647,55
16.333333333333332,1221912768.0496001,6269689.1513519995,-236734249.3480213,930949978.9420843,54
35.875,936119085.6934,2301303.2724128324,-164231263.5098963,821496640.5789739,53
21.8,2644583378.9325,11319363.168363333,329484501.25816005,1049990231.5725589,56
11.0,1228220469.432,-5347735.647007501,-95739588.21978897,968105663.0325483,54
20.1,1405851021.1076,7439944.116698666,341541671.7156603,873318317.2165508,53
3.0,2306192.3495999984,190779.21105916667,-29689505.634976666,11112318.775248865,54
19.0,417597066.12,-2495594.1608,62638919.0596,224320975.77568623,57
15.444444444444445,417457480.9141,2113237.146205,151599785.07330367,180868699.36227274,58
29.77777777777778,311694651.08449996,234321.4077274998,89096060.08484831,287029438.8437035,64
24.285714285714285,594662334.2436,2839762.001461,65622422.881694034,426612071.11932,67
