mean,std,skewness,kurtosis,rms,mad,dominant_freq,total_power,mean_ibi,ibi_std,mean_peak_amp,HR
455900048.374769,692474176.9754125,-0.986387649302181,0.45816586256724134,829074990.5080309,527855677.61942565,0.1,1.8887299580635817e+18,0.7777777777777778,0.04374448818895455,851850120.6138,77
-15105698.55422994,532754635.527357,0.023377337388127768,-1.5346380432925872,532968745.6171312,485592336.79690564,0.1,1.1260067512697745e+18,0.7888888888888889,0.07114582486036501,59885041.52876921,75
110881586.77533336,307399575.4589278,-0.8374344100852177,-1.1407402288071222,326786207.294838,276858753.02122486,0.1,6.430767217238284e+17,0.8333333333333335,0.06666666666666665,195376347.39853334,73
-33014061.07392802,647086901.6991451,-0.1821401757592041,-0.723556376014101,647928535.0863875,535836791.4741688,0.1,3.4736974188159775e+18,0.8333333333333335,0.04494665749754947,584779696.4240001,73
-129682747.63977867,368404001.01741064,0.2410488200182947,-0.8410079435199789,390562572.45291543,311793593.8944347,0.2,1.4661841547743337e+18,0.7282051282051281,0.08148845426702928,78837056.01168573,81
-167923154.70690668,209619245.44653136,1.1051963102679334,0.4144027100670815,268585952.62651557,168545379.59542075,0.1,2.035907943934094e+17,0.7256410256410256,0.07969369368164134,-52331034.97332142,82
-7229055.6126250075,225148698.71066377,-0.09784245623650673,-1.1603044341630633,225264723.77217802,192962157.10515332,0.1,1.2813000225680622e+17,0.8090909090909091,0.07119600075436809,45028764.983125,72
45259306.97039734,340073150.5352603,-0.10866152707204003,-1.3521702525235508,343071643.5125737,309923141.41160053,0.1,7.979502156578575e+17,0.7515151515151515,0.03856946079199354,161153297.39851665,80
79556612.67136365,329936577.5726322,-0.08138792135261362,-0.5781098383396177,339392692.67337346,277476364.5429582,0.1,3.143147069932691e+17,0.775,0.05793514892948395,149934606.13424614,79
38742014.15609036,315029924.86431116,-0.3187722519122468,-1.5050886395191236,317403209.21642274,289766099.4795057,0.1,8.764366929915846e+17,0.8,0.08287754140107483,147946535.410825,72
-155458415.740796,382496153.3440616,0.7767836248012463,0.31736191570522454,412880886.39175594,294168003.3444285,0.0,7.374123700109821e+17,0.8027777777777779,0.05846545883291442,65524286.59516925,76
184194264.11567366,385551560.8914607,-0.5693846526330032,-0.30015068492166064,427290923.1881205,315439737.8175869,0.30000000000000004,1.2264036521118438e+18,0.796969696969697,0.12181667419540473,442965785.1236334,74
-310312918.552108,246455929.30034825,1.541673558593851,2.461458536724714,396275954.99553776,177193049.8957385,0.1,2.9545120960381274e+17,0.741025641025641,0.20219050260221874,-227839790.49047858,79
-30412700.36712499,481254700.8177421,0.37574806560560653,-0.24652562698177638,482214702.59915864,393176221.88002676,0.2,2.4044195366400696e+18,0.7333333333333333,0.11303883305208784,210916758.17173073,76
140752761.20339862,621235830.2829392,-0.5368128525257316,-0.3141835378078346,636981394.2445365,502216382.16137755,0.1,2.949004913807965e+18,0.7307692307692307,0.11944425332156018,379110522.0013572,72
-44422314.48072934,456485684.8167365,0.32935318672297786,-1.1767756046462718,458642041.7563459,392735247.4070582,0.1,9.511696255630209e+17,0.7861111111111111,0.1357137055589568,99642104.79145387,74
-14097584.338842684,208055378.70762843,0.20581829357954287,-1.5669055512188756,208532449.49735156,194258429.0499144,0.1,2.2110594314754704e+17,0.8151515151515152,0.15722571843724664,12671210.706250003,72
-5667396.767082011,730379153.2479854,0.09315290183261819,-0.7564526416467814,730401141.0761621,600986643.0788531,0.30000000000000004,3.4454675065017395e+18,0.8151515151515152,0.14309962367415266,527310876.66299987,72
31047677.488409985,415838197.3110906,0.03299151871473661,-0.7046072336067288,416995641.00882614,343211376.3736834,0.30000000000000004,1.3456771905749903e+18,0.7666666666666666,0.09428090415820635,263013877.77669233,78
-68771774.15184997,412071267.18482524,0.029216341961975128,-0.8984535447310344,417770614.2840838,344760229.2478593,0.30000000000000004,1.0934078286930651e+18,0.7999999999999999,0.2348435972120917,80277764.53491668,74
-7509600.371711999,3745471.2204178087,1.8664091072188813,5.176681625979654,8391820.56563384,2729153.71792384,0.9,102694186584212.17,0.8151515151515153,0.20318854077866927,-2558350.7264000005,76
104403272.54305202,274025236.904614,-0.6843248844465608,-0.6596143710361932,293240300.399397,231125451.14208654,0.1,4.104018798625353e+17,0.7307692307692307,0.14170001927844206,221955571.44454283,76
