Time (s),PPGG
0.0,-18726006.7577
0.03333333333333333,-18545888.8649
0.06666666666666667,-18055567.9345
0.1,-17950499.1637
0.13333333333333333,-17815410.7441
0.16666666666666666,-17116203.090800002
0.2,-17336347.182
0.23333333333333334,-17589012.5594
0.26666666666666666,-17691579.6928
0.3,-17870446.7669
0.3333333333333333,-16812254.146700002
0.36666666666666664,-15592705.9142
0.4,-15507650.2426
0.43333333333333335,-16243131.6382
0.4666666666666667,-15278750.420500001
0.5,-14354395.4012
0.5333333333333333,-16031743.277900001
0.5666666666666667,-17744114.0782
0.6,-18249444.833
0.6333333333333333,-18090590.8581
0.6666666666666666,-18377028.3404
0.7,-18151880.9744
0.7333333333333333,-17689078.0554
0.7666666666666667,-17223773.499
0.8,-17696582.9676
0.8333333333333334,-18120610.5069
0.8666666666666667,-18689733.0154
0.9,-19293878.4475
0.9333333333333333,-18729759.213800002
0.9666666666666667,-17799150.101
1.0,-18254448.1078
1.0333333333333334,-20763590.42
1.0666666666666667,-22697356.130200002
1.1,-24193335.2954
1.1333333333333333,-25728089.8403
1.1666666666666667,-26698725.1515
1.2,-26956393.8037
1.2333333333333334,-29110303.605100002
1.2666666666666666,-32635110.701700002
1.3,-37911063.9783
1.3333333333333333,-40985576.3429
1.3666666666666667,-40865497.7477
1.4,-39507108.6395
1.4333333333333333,-38278804.6761
1.4666666666666666,-37375713.5747
1.5,-36656492.8222
1.5333333333333334,-34111076.7677
1.5666666666666667,-30077186.4602
1.6,-26785031.6418
1.6333333333333333,-25856924.1664
1.6666666666666667,-26102084.6316
1.7,-24888790.4926
1.7333333333333334,-23263977.0013
1.7666666666666666,-21850551.870300002
1.8,-20404605.4531
1.8333333333333333,-18667218.2788
1.8666666666666667,-16862286.894700002
1.9,-15243727.4969
1.9333333333333333,-13500086.2291
1.9666666666666666,-10837093.2168
2.0,-7728808.7473
2.033333333333333,-5926379.0006
2.066666666666667,-5238428.7156
2.1,-4861932.2869
2.1333333333333333,-5059561.6415
2.1666666666666665,-6608075.192100001
2.2,-7207217.349400001
2.2333333333333334,-7165940.3323
2.2666666666666666,-7840131.6116
2.3,-7995233.1304
2.3333333333333335,-7546189.2171
2.3666666666666667,-6982069.9834
2.4,-6550537.5319
2.433333333333333,-6561794.9002
2.466666666666667,-6310380.3415
2.5,-5639941.518300001
2.533333333333333,-4334086.7955
2.566666666666667,-2655488.1001
2.6,-745487.9452000001
2.6333333333333333,406516.0775
2.6666666666666665,2143903.2518
2.7,4679312.7567
2.7333333333333334,3923818.2619000003
2.7666666666666666,1479718.5221
2.8,-602894.6134
2.8333333333333335,-1551015.188
2.8666666666666667,-1320864.5472000001
2.9,-1039430.3397
2.933333333333333,-1604800.3921
2.966666666666667,-2567930.7911
3.0,-2662993.0123
3.033333333333333,-2023824.6566
3.066666666666667,-2550419.3293
3.1,-4166477.0897
3.1333333333333333,-5202154.9733
3.1666666666666665,-5342246.6677
3.2,-5462325.2629
3.2333333333333334,-5571146.489800001
3.2666666666666666,-5466077.7190000005
3.3,-4643039.0144
3.3333333333333335,-3885042.8822000003
3.3666666666666667,-3835010.1342
3.4,-4212757.3816
3.433333333333333,-4968251.8764
3.466666666666667,-6294119.6984
3.5,-7471140.0951000005
3.533333333333333,-7542436.761
3.566666666666667,-6605573.5547
3.6,-6140268.9983
3.6333333333333333,-6564296.5376
3.6666666666666665,-7102148.578600001
3.7,-6716896.419
3.7333333333333334,-6266601.687
3.7666666666666666,-5783785.6688
3.8,-5456071.1694
3.8333333333333335,-4078919.7807
3.8666666666666667,-2928166.5767
3.9,-1252069.5187000001
3.933333333333333,1531002.0888
3.966666666666667,3931323.1741
4.0,5384774.503500001
4.033333333333333,6593065.3677
4.066666666666666,8164093.6549
4.1,9278573.1166
4.133333333333334,9959018.4894
4.166666666666667,10948416.0811
4.2,12102921.7412
4.233333333333333,13442548.5689
4.266666666666667,15126150.5391
4.3,16993622.8582
4.333333333333333,18245692.376900002
4.366666666666666,18774788.687
4.4,18999936.053
4.433333333333334,18944900.0302
4.466666666666667,18783544.4179
4.5,17812909.1067
4.533333333333333,13277440.500500001
4.566666666666666,1704865.8881
4.6,-17797899.2823
